,section_id,s_node,e_node,length
0,4231222,25248785,321607233,2
1,4231223,25248791,330841408,8
2,4263917,330844390,1639085074,4
3,4263918,25585092,25585135,10
4,4484480,27484993,1833361108,5
5,4484630,26535594,1742861999,8
6,4493469,325686451,1598453934,13
7,4822336,30993514,1718852261,6
8,4822342,30993546,30993549,5
9,4822345,384836951,1718872061,26
10,4822362,30993605,701734117,5
11,4825504,31017965,31017966,2
12,4843674,733967259,26535390,2
13,4843675,32388118,32899013,4
14,4844695,31200905,1976153494,6
15,4844708,31200894,733859850,8
16,4845099,31204703,31204892,2
17,4845102,31204696,31204911,2
18,4857335,31017990,1190930388,5
19,4857383,31018236,330840055,2
20,4908397,25248790,325686463,2
21,4908400,325686500,32062410,8
22,4922662,2103131703,32278573,11
23,4928045,332618906,32388118,2
24,4928048,32388365,269491782,10
25,4931009,32451488,32449308,8
26,4931055,32449306,32449307,6
27,4931136,1976959632,32450490,3
28,4931137,269487636,5096623605,3
29,4931224,32449308,32451111,4
30,4931240,32451345,32451339,2
31,4947938,32388366,341222176,12
32,4964849,1802366835,1802366834,3
33,4964850,1803810853,32877189,2
34,5135877,245145493,35551151,16
35,5135894,1802398470,1859924770,13
36,5135897,35555619,2207734693,4
37,5135903,35835744,1634975461,3
38,5158566,32618834,324664311,10
39,5168718,321802797,1303500767,12
40,5168726,533604390,1760770190,3
41,5168733,35835593,35835596,10
42,5168864,34710869,1838508280,13
43,5168931,35856375,338237404,3
44,5168969,1230312331,1771794810,3
45,5168984,534249537,35860242,3
46,5168995,1361147796,1771676885,3
47,5169015,239433097,1350327456,10
48,5169058,530646479,1359329237,2
49,5169081,294119384,1765144966,5
50,5169097,1362305647,1745111617,3
51,5169113,1410708922,35869971,2
52,5169116,35870346,1634902627,2
53,5169171,1824913413,1243729590,44
54,5202870,77331934,2498354567,10
55,5202950,35722732,534115614,3
56,5212290,1351272695,36704964,3
57,5212775,1838508301,1811333751,6
58,5217861,32877275,1838508242,31
59,5217964,1423628579,343437149,11
60,5217979,1842187369,1842187342,14
61,5218028,36704965,36704966,4
62,5218029,35871419,1634854165,8
63,5218038,36704904,36704905,4
64,5218054,36704992,1634403553,2
65,8365687,25585055,1891268439,13
66,8365690,390990636,77732049,4
67,8365693,25585120,25585135,2
68,8365697,25585116,25585141,4
69,8861304,35722669,100655684,4
70,8861571,1351023321,1351023249,16
71,8868032,64490206,1528034334,5
72,8868056,656035868,656033294,3
73,8868091,27547627,656035868,10
74,8869519,1303500892,1634952563,2
75,9476038,72843093,385092013,12
76,9476046,27547590,27547596,6
77,9477031,32387952,1860131907,2
78,9701147,385095492,384108245,3
79,9701854,321794578,1838498580,3
80,9701938,76457578,1449318352,4
81,9701977,332617671,332616584,5
82,9745798,330836134,330836135,2
83,9745904,321718422,606740807,17
84,9746850,1351023247,1351023246,2
85,9779112,2710509976,1231628419,9
86,9779240,733789275,31194139,8
87,9779352,4723539996,534448132,12
88,9779360,266111656,3015830933,4
89,9853013,258971034,32899017,4
90,9853022,1841644323,1860131917,14
91,9932203,35549717,3012563358,4
92,9932209,268390160,1658109520,5
93,10496445,77734114,90235924,7
94,10496447,330842109,25585099,2
95,11313750,1819118025,336375956,9
96,11313842,1840733238,1819087353,2
97,11315378,100651857,129899686,9
98,11315467,1819087329,31018239,10
99,11315578,1840733211,2139848967,6
100,13432856,72864052,72864050,2
101,13433115,124171932,124174677,9
102,13514983,124186569,330588556,9
103,13740601,31204709,31204690,19
104,14347213,100631861,1114079310,3
105,16266618,321855434,245140925,10
106,16266662,370793703,415529832,5
107,21654620,1687193445,1687193448,2
108,21691079,292591115,1360087413,2
109,21804783,264827881,321759981,3
110,22036897,245104009,2052937446,2
111,22067160,384324630,528763537,31
112,22067184,237538987,237538952,2
113,22067192,1520697057,297146895,54
114,22069891,239453042,1600040764,2
115,22072334,237585373,292590743,13
116,22270614,237546554,239434611,2
117,22270615,1666955275,4721472981,6
118,22270616,1317051523,1652481964,7
119,22371064,981019169,1527880401,6
120,22758736,27486094,1356404848,16
121,22758748,1253535064,656086869,2
122,22759931,233297531,1350996073,2
123,22759944,1718863759,1718863756,2
124,22760001,701717087,1718883509,2
125,22760069,2575647242,2454614419,5
126,22770846,1622283998,1622284028,2
127,22771829,343339292,385027514,7
128,22771867,1195735433,312477914,8
129,22771899,1748294895,1365113272,10
130,22771900,244467987,233763298,11
131,22787998,72864050,1211831774,10
132,22788099,1736512928,1736505388,9
133,22788119,1736512928,1480544803,2
134,22788124,1351023245,1736505495,2
135,22788195,1736505494,244883905,7
136,22788324,35722654,35722669,4
137,22788434,1802524522,64384543,11
138,22788539,35555615,269616427,9
139,22788597,35555619,482830990,6
140,22788765,1211831774,244891572,16
141,22797957,245105858,245106356,19
142,22797962,245106850,245106356,5
143,22797963,245107394,318266428,9
144,22797964,533656338,245106853,7
145,22797966,245107309,245106787,5
146,22797972,343436296,2056594354,8
147,22797973,2339321684,2056613798,8
148,22797974,343438524,5256821826,6
149,22797977,245108057,322448790,13
150,22798028,245108909,245108905,5
151,22798029,4605155995,5202428373,6
152,22799184,321615599,1419885126,3
153,22799185,321615513,321615599,2
154,22799191,320900425,320900795,3
155,22799394,330589864,2578148694,9
156,22799502,1290300942,245128535,2
157,22799948,1360099102,975801331,2
158,22799950,371157793,567891688,11
159,22799951,974490968,371156467,9
160,22799953,930076860,1360087478,13
161,22799956,930076921,976494171,7
162,22799962,1360087349,245129779,4
163,22799985,380739727,1363488889,2
164,22799992,992548499,537971644,8
165,22800010,245135657,1853013963,2
166,22800017,245135651,282228883,2
167,22800022,245136456,1853013964,12
168,22800037,528858622,528858603,3
169,22800041,31194414,321855434,8
170,22800081,294123389,245145127,10
171,22800099,272624597,1842187348,7
172,22800935,1634975446,332949609,15
173,22801702,320830309,1765216445,2
174,22801706,245150070,331216027,3
175,22801708,321209089,245150489,4
176,23024001,248250319,1837724931,5
177,23024006,1074578592,2115201508,3
178,23114181,606887048,2115201433,4
179,23115998,1617939400,1667135672,5
180,23116001,249560785,249560791,4
181,23116004,239433309,654165778,8
182,23116006,249560795,249560912,8
183,23116008,1837727659,654163815,10
184,23116011,249560785,654165793,9
185,23116014,249560946,249560947,3
186,23122305,320466921,320465175,2
187,23122311,2115201450,2115201418,7
188,23133372,1985434422,1985434427,4
189,23133394,320469447,320469453,9
190,23146067,529540951,1859810458,3
191,23167988,726651478,2478512276,21
192,23215394,1985434358,331000816,2
193,23215406,331015995,331015988,8
194,23215490,529536601,1654411365,33
195,23239887,320468864,2461496822,2
196,23272311,3242166312,2132316187,22
197,23285396,530735033,320465511,3
198,23285436,307435930,307435934,4
199,23309356,1654411371,920058236,2
200,23311519,253123000,1836427158,7
201,23351484,124173670,252852458,8
202,23351487,124173670,1721651263,12
203,23351520,244252920,252852842,5
204,23351581,1410718575,1837234268,13
205,23351652,288747253,754402894,5
206,23378452,534543327,644614516,2
207,23383764,1351024112,1807791851,9
208,23426778,239453042,1597419021,20
209,23426804,245130651,1420930928,9
210,23426857,2354014385,943386823,4
211,23717625,256832892,353122271,26
212,23720836,253184671,1351023520,17
213,23720860,1838508241,998958005,9
214,23767934,76457684,76457683,8
215,23892248,529509886,1718852200,8
216,23892295,1813979295,1807875321,11
217,23892301,258970102,258970101,2
218,23892322,1817905701,1702679729,25
219,23892323,1278005877,332613190,25
220,23892332,1814086961,258970193,8
221,23892336,1814086936,1346794709,31
222,23892431,1736610648,1842187366,4
223,23901570,244252920,656071038,6
224,24024394,1243786188,1243786237,2
225,24150814,237538919,1317051636,11
226,24150821,261615267,1317051559,12
227,24150838,261615327,261615348,2
228,24150851,249560948,261615427,3
229,24150864,1317051695,1317051440,7
230,24269456,31332092,1841773282,10
231,24269499,385095500,287331502,7
232,24385479,1226813729,2122595084,10
233,24385480,700080589,605040857,6
234,24399529,264825920,1253535202,4
235,24399537,1350995985,264826479,5
236,24399553,1742785935,32388365,33
237,24399558,324664313,1190930442,10
238,24399561,321760330,264827881,3
239,24399971,264839047,1736446969,33
240,24400011,245154250,1634491529,2
241,24447770,2108372966,265710690,2
242,24459456,528891039,528891043,6
243,24476162,266108997,31201265,8
244,24476163,266109027,341209609,8
245,24476165,266109063,1999500523,3
246,24476169,266109207,266109208,3
247,24476170,733859706,266109232,7
248,24476173,330840058,342820811,4
249,24476177,342821095,266109346,4
250,24476179,266109384,266109386,5
251,24476184,336378292,31201265,12
252,24476187,266109503,1362315798,4
253,24476189,76457600,1192323534,7
254,24476192,266109722,266109692,6
255,24476193,266109720,266109723,6
256,24476194,266109741,266109743,2
257,24476195,3047595229,534075531,10
258,24476207,266110161,266112062,5
259,24476229,534075531,384270751,6
260,24476231,266110553,384270748,6
261,24476233,746964223,266110595,2
262,24476293,733858992,1362315806,3
263,24476294,266111535,266111536,4
264,24476295,31201272,266111538,5
265,24476296,266111539,390934174,10
266,24476298,266111552,1976153463,5
267,24476301,1979479764,266111572,9
268,24476302,266111574,266111576,7
269,24476303,266111578,266111580,5
270,24476305,266111604,1860131874,3
271,24476306,266111578,733858866,15
272,24476308,266111638,390934098,3
273,24476310,733859094,266111624,4
274,24476311,266111626,1860131875,3
275,24476313,266111636,340256465,9
276,24476317,266111653,266111650,8
277,24476336,266111936,266111938,5
278,24476386,266112217,266112219,2
279,24476415,266112275,1840733223,3
280,24476416,1819087356,266112275,2
281,24476417,266112276,266109691,7
282,24476424,266112315,266112314,8
283,24476426,266112330,266112331,4
284,24476427,266112331,1742929897,7
285,24476430,266112396,266109099,4
286,24476434,266112409,266112411,4
287,24476437,266112544,266112420,6
288,24476438,266111539,266112422,6
289,24476439,266112545,266112525,3
290,24476455,266112661,266112660,13
291,24487629,266250587,559059520,5
292,24691129,321493338,321493332,3
293,24691163,1420909551,268389341,17
294,24691164,1420909590,1422005595,3
295,24691186,268389577,268389615,7
296,24691206,1360087490,1360087491,2
297,24691208,930076809,930076821,2
298,24691220,1359329379,1718883508,13
299,24691239,1375576504,1375576547,3
300,24691240,2321339182,1824913213,4
301,24790441,739197981,269351352,4
302,24790443,1239554876,269351358,10
303,24797624,381945450,1370395795,6
304,24797642,269422548,1419791449,2
305,24797646,1808638904,1808638909,5
306,24797650,1419791443,269422663,10
307,24797689,1420010749,291299372,5
308,24797691,269423463,269423467,8
309,24797699,291299817,701039292,7
310,24797703,269423703,291299286,3
311,24797710,529963927,1652646002,12
312,24797748,280038804,1851825883,3
313,24798460,280038855,610845224,11
314,24804436,3508237910,529963466,3
315,24804511,269487652,269487648,10
316,24804512,339088847,340251644,10
317,24804514,269490578,1803810833,3
318,24804515,269488000,269488002,7
319,24804550,385206910,269489746,14
320,24804551,330841136,26535595,2
321,24804637,269490574,332618777,9
322,24804693,269491201,269491779,5
323,24804695,269491228,290597415,6
324,24804697,269491216,321262085,6
325,24804712,733788973,260560257,15
326,24804758,290599811,290599832,4
327,24804759,269491726,290599832,3
328,24804760,340244406,269491729,11
329,24804764,290597414,290599811,9
330,24804766,269491779,269491783,2
331,24804767,340245854,269491787,2
332,24804776,340245929,269491216,23
333,24804789,269492023,559256085,7
334,24804793,644609219,269492024,7
335,24804798,269492076,269492077,2
336,24804808,559256011,269492126,2
337,24804809,1979392563,1979392562,2
338,24804811,269492188,559256060,14
339,24804857,269492542,1923578528,5
340,24804865,269492592,559256074,13
341,24804866,1420909587,268389473,3
342,24804867,269492613,269492619,7
343,24804889,321489811,559256022,5
344,24804890,5419852858,266116276,68
345,24804896,269493021,559059399,2
346,24804898,644608217,1361503559,2
347,24804912,269493239,266251321,9
348,24806468,410835091,338223302,5
349,24817811,269616548,269616427,4
350,25004138,271818084,271818092,5
351,25004139,271818092,271818104,8
352,25004140,271818104,271818106,3
353,25004141,271818106,271818117,9
354,25004142,271818117,2112656802,22
355,25004143,271818124,271822417,23
356,25004584,271822417,276917087,40
357,25004588,271822549,271822561,14
358,25004593,271822597,271822627,31
359,25004594,271822627,271822635,10
360,25004595,271822635,271822676,26
361,25004597,271822687,271822691,6
362,25004599,271822691,1960495603,69
363,25004600,271822691,3289274020,7
364,25004601,3289274021,271822785,78
365,25004605,271822750,271822787,2
366,25004607,272525191,280448369,19
